bib	div	loc	country	prof	swim.dist	swim.split	swim.race	swim.pace	swim.drank	swim.grank	swim.orank	bike.dist	bike.split	bike.race	bike.pace	bike.drank	bike.grank	bike.orank	run.dist	run.split	run.race	run.pace	run.drank	run.grank	run.orank	t1	t2
356	F25-29	Toronto ON	CAN	Communications	3.8 km	1:25:54	1:25:54	2:15/100m	32	300	1403	180 km	6:45:14	8:19:54	26.65 km/h	19	224	1413	42.195 km	4:54:09	13:21:21	6:58/km	19	209	1282	8:46	7:18
357	F30-34	Laval QC	CAN	Teacher	3.8 km	--:--	--:--	--/100m	--	--	--	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
358	F30-34	Ottawa ON	CAN	Fitness Consultant	3.8 km	1:05:07	1:05:07	1:42/100m	10	35	168	180 km	6:54:21	8:07:41	26.06 km/h	42	182	1277	42.195 km	4:41:48	12:53:14	6:40/km	39	156	1066	8:13	3:45
359	F30-34	Millsboro DE	USA	Consultant	3.8 km	--:--	--:--	--/100m	--	--	--	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
360	F30-34	Bristow VA	USA	Secretary	3.8 km	1:25:34	1:25:34	2:15/100m	61	294	1389	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	6:52	--:--
361	F30-34	Macedon NY	USA	Attorney	3.8 km	1:14:38	1:14:38	1:57/100m	26	116	594	180 km	6:25:23	7:47:00	28.02 km/h	31	121	970	42.195 km	4:33:39	12:24:25	6:29/km	31	108	841	6:59	3:46
362	F30-34	Ste-Julie QC	CAN	Other	3.8 km	1:15:03	1:15:03	1:58/100m	27	122	621	180 km	6:37:09	8:01:26	27.19 km/h	39	156	1195	42.195 km	4:10:59	12:17:31	5:56/km	29	102	790	9:14	5:06
363	F30-34	Beachburg ON	CAN	Dental Hygienist	3.8 km	1:19:57	1:19:57	2:06/100m	42	205	1012	180 km	6:01:35	7:27:35	29.87 km/h	23	81	717	42.195 km	4:27:17	11:58:20	6:20/km	24	83	649	6:03	3:28
364	F30-34	Philadelphia PA	USA	Marketing	3.8 km	2:19:05	2:19:05	3:39/100m	104	656	2424	180 km	7:11:02	9:42:13	25.06 km/h	93	538	2194	42.195 km	4:37:18	14:26:35	6:34/km	71	365	1723	12:06	7:04
365	F30-34	St-Jean-Sur-Richelieu QC	CAN	Engineer	3.8 km	1:18:56	1:18:56	2:04/100m	39	179	921	180 km	6:42:46	8:09:49	26.81 km/h	43	192	1304	42.195 km	5:22:51	13:37:48	7:39/km	55	249	1425	8:07	5:08
366	F35-39	Mascouche QC	CAN	Attorney	3.8 km	1:08:13	1:08:13	1:47/100m	14	57	268	180 km	5:57:50	7:11:57	30.18 km/h	11	47	481	42.195 km	3:42:37	10:57:25	5:16/km	5	22	245	5:54	2:51
367	F35-39	Montreal QC	CAN	Nurse	3.8 km	1:24:08	1:24:08	2:12/100m	52	267	1282	180 km	6:30:56	8:02:57	27.63 km/h	33	160	1207	42.195 km	5:01:28	13:11:38	7:08/km	37	196	1212	7:53	7:13
368	F35-39	Somerville MA	USA	Other	3.8 km	1:03:14	1:03:14	1:39/100m	7	24	103	180 km	5:35:10	6:43:55	32.22 km/h	4	13	180	42.195 km	3:47:45	10:34:25	5:23/km	3	16	158	5:31	2:45
369	F35-39	Barrington IL	USA	Engineer	3.8 km	1:26:13	1:26:13	2:16/100m	59	306	1421	180 km	7:54:48	9:34:40	22.75 km/h	91	513	2137	42.195 km	--:--	--:--	--/km	--	--	--	13:39	--:--
370	F35-39	New Hartford NY	USA	Teacher	3.8 km	1:21:03	1:21:03	2:07/100m	43	229	1091	180 km	6:50:40	8:22:01	26.30 km/h	43	233	1448	42.195 km	5:37:54	14:09:59	8:00/km	63	324	1624	10:18	10:04
371	F35-39	Toronto ON	CAN	Other	3.8 km	1:12:33	1:12:33	1:54/100m	20	94	503	180 km	7:01:09	8:20:46	25.64 km/h	42	227	1429	42.195 km	5:38:09	14:04:17	8:00/km	60	314	1593	7:04	5:22
372	F35-39	Liverpool NY	UMI	Other	3.8 km	1:20:10	1:20:10	2:06/100m	40	213	1029	180 km	6:20:09	7:48:32	28.41 km/h	28	129	995	42.195 km	4:32:02	12:25:28	6:26/km	28	111	848	8:13	4:54
373	F40-44	Waterloo ON	CAN	Teacher	3.8 km	1:24:15	1:24:15	2:13/100m	55	271	1289	180 km	6:49:01	8:23:51	26.40 km/h	48	240	1465	42.195 km	5:32:40	14:03:27	7:53/km	66	313	1589	10:35	6:56
374	F40-44	Sharon MA	USA	Physician	3.8 km	1:47:01	1:47:01	2:48/100m	126	569	2225	180 km	7:14:07	9:14:11	24.88 km/h	101	447	1986	42.195 km	5:37:13	15:03:58	7:59/km	106	457	1933	13:03	12:34
375	F40-44	Tehuacan, Tehuacan	MEX	Other	3.8 km	1:37:34	1:37:34	2:34/100m	106	482	1974	180 km	6:42:17	8:28:09	26.85 km/h	53	260	1520	42.195 km	5:01:29	13:36:23	7:08/km	47	246	1417	8:18	6:45
376	F40-44	Blainville QC	CAN	Banker	3.8 km	1:26:58	1:26:58	2:17/100m	68	326	1466	180 km	6:27:39	8:05:19	27.86 km/h	24	169	1243	42.195 km	4:24:49	12:35:48	6:16/km	15	133	934	10:42	5:40
377	F40-44	Beaverton OR	USA	Management	3.8 km	1:27:17	1:27:17	2:17/100m	70	339	1493	180 km	6:51:27	8:30:17	26.25 km/h	55	267	1545	42.195 km	5:11:44	13:47:54	7:23/km	58	280	1503	11:33	5:53
378	F40-44	Vancouver BC	CAN	Administrator	3.8 km	1:26:57	1:26:57	2:17/100m	67	325	1465	180 km	6:35:03	8:09:25	27.34 km/h	33	188	1295	42.195 km	6:13:20	14:28:39	8:50/km	81	370	1734	7:25	5:54
379	F40-44	Ottawa ON	CAN	Management	3.8 km	1:26:43	1:26:43	2:16/100m	66	318	1454	180 km	6:01:01	7:35:46	29.92 km/h	10	94	832	42.195 km	5:50:52	13:32:38	8:18/km	46	241	1387	8:02	6:00
380	F40-44	Brewerton NY	USA	Administrator	3.8 km	1:36:12	1:36:12	2:31/100m	103	465	1918	180 km	6:21:53	8:05:44	28.28 km/h	27	174	1251	42.195 km	5:34:08	13:43:26	7:55/km	55	268	1477	7:39	3:34
381	F40-44	Montreal QC	CAN	Nurse	3.8 km	1:14:54	1:14:54	1:58/100m	18	121	610	180 km	6:18:45	7:39:52	28.51 km/h	12	101	877	42.195 km	4:25:14	12:08:09	6:17/km	10	95	727	6:13	3:03
382	F40-44	Timberlea NS	CAN	Business Executive	3.8 km	1:16:00	1:16:00	2:00/100m	22	132	694	180 km	6:37:46	8:05:43	27.15 km/h	26	173	1250	42.195 km	4:41:49	12:52:49	6:40/km	26	154	1060	11:57	5:17
383	F40-44	Cantley QC	CAN	Other	3.8 km	1:24:54	1:24:54	2:14/100m	59	279	1338	180 km	7:24:32	9:01:56	24.30 km/h	92	404	1894	42.195 km	5:38:21	14:51:09	8:01/km	98	427	1866	12:30	10:52
384	F45-49	Culver City CA	USA	Other	3.8 km	1:28:19	1:28:19	2:19/100m	42	361	1566	180 km	7:19:10	8:59:09	24.59 km/h	47	392	1864	42.195 km	5:30:00	14:38:57	7:49/km	54	397	1792	11:40	9:48
385	F45-49	Atlanta GA	USA	Computer Programmer	3.8 km	1:40:26	1:40:26	2:38/100m	66	514	2071	180 km	7:18:46	9:11:13	24.61 km/h	58	436	1960	42.195 km	5:35:44	14:56:39	7:57/km	58	440	1894	12:01	9:42
386	F45-49	Ottawa ON	CAN	Communications	3.8 km	1:27:05	1:27:05	2:17/100m	37	336	1483	180 km	7:11:53	8:49:21	25.01 km/h	41	350	1768	42.195 km	4:07:35	13:04:30	5:52/km	22	185	1154	10:23	7:34
387	F45-49	San Francisco CA	USA	Culinary Arts	3.8 km	1:26:12	1:26:12	2:16/100m	29	305	1419	180 km	6:33:26	8:05:42	27.45 km/h	21	172	1248	42.195 km	3:57:09	12:06:24	5:37/km	9	93	706	6:04	3:33
388	F45-49	Winnipeg MB	CAN	Consultant	3.8 km	1:36:07	1:36:07	2:31/100m	62	463	1916	180 km	7:15:14	9:02:16	24.81 km/h	51	407	1897	42.195 km	5:23:00	14:33:51	7:39/km	48	382	1763	10:55	8:35
389	F45-49	Los Angeles CA	USA	Teacher	3.8 km	1:19:15	1:19:15	2:05/100m	20	189	947	180 km	7:29:53	8:59:36	24.01 km/h	49	395	1869	42.195 km	5:29:59	14:38:57	7:49/km	53	396	1791	10:28	9:22
																											
391	F45-49	Mahomet IL	USA	Accountant	3.8 km	1:02:56	1:02:56	1:39/100m	2	20	97	180 km	5:36:20	6:46:58	32.11 km/h	2	19	207	42.195 km	4:04:20	10:57:04	5:47/km	2	21	242	7:42	5:46
392	F45-49	Waltham MA	USA	Teacher	3.8 km	1:06:16	1:06:16	1:44/100m	5	48	206	180 km	6:18:14	7:31:35	28.55 km/h	9	84	774	42.195 km	7:01:19	14:36:47	9:59/km	50	389	1782	7:05	3:53
393	F45-49	Midlothian VA	USA	Consultant	3.8 km	1:31:58	1:31:58	2:25/100m	52	422	1761	180 km	6:42:05	8:22:40	26.86 km/h	30	234	1453	42.195 km	5:33:47	14:07:34	7:54/km	39	318	1610	8:37	11:07
394	F45-49	Wilton CT	USA	Management	3.8 km	1:33:20	1:33:20	2:27/100m	54	432	1817	180 km	7:39:31	9:24:12	23.50 km/h	65	473	2057	42.195 km	5:42:38	15:15:01	8:07/km	62	479	1986	11:21	8:11
395	F50-54	La Fayette NY	USA	Physician	3.8 km	1:26:05	1:26:05	2:15/100m	25	302	1413	180 km	6:23:17	7:58:25	28.18 km/h	12	151	1149	42.195 km	4:18:49	12:23:11	6:08/km	7	107	833	9:03	5:57
396	F50-54	Brighton ON	CAN	Retired	3.8 km	1:27:12	1:27:12	2:17/100m	30	337	1488	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	9:06	--:--
397	F50-54	Ste Marthe Sur Le Lac QC	CAN	Other	3.8 km	1:17:32	1:17:32	2:02/100m	12	158	805	180 km	6:29:07	7:55:05	27.76 km/h	11	138	1099	42.195 km	4:56:52	12:55:19	7:02/km	14	161	1080	8:26	3:22
398	F50-54	Oakville ON	CAN	Writer	3.8 km	1:38:27	1:38:27	2:35/100m	53	488	1993	180 km	7:24:52	9:13:01	24.28 km/h	50	442	1975	42.195 km	4:18:33	13:37:32	6:07/km	25	248	1423	9:42	5:58
399	F50-54	Aliso Viejo CA	USA	Engineer	3.8 km	1:28:27	1:28:27	2:19/100m	37	366	1574	180 km	8:21:00	10:01:41	21.56 km/h	64	580	2278	42.195 km	6:01:24	16:13:15	8:33/km	65	555	2171	12:14	10:10
400	F50-54	Coventry RI	USA	Insurance	3.8 km	1:34:38	1:34:38	2:29/100m	43	446	1867	180 km	7:03:46	8:47:47	25.49 km/h	35	341	1744	42.195 km	4:57:16	13:57:00	7:02/km	29	296	1548	9:23	11:57
401	F50-54	Winter Park FL	USA	Salesperson	3.8 km	1:36:35	1:36:35	2:32/100m	51	475	1938	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	11:21	--:--
402	F50-54	Ottawa ON	CAN	Management	3.8 km	1:35:10	1:35:10	2:30/100m	44	451	1883	180 km	6:45:00	8:28:01	26.67 km/h	24	259	1517	42.195 km	4:34:16	13:07:26	6:29/km	19	190	1181	7:51	5:09
403	F50-54	Toronto ON	CAN	Consultant	3.8 km	1:26:48	1:26:48	2:17/100m	27	319	1457	180 km	6:29:16	8:06:41	27.74 km/h	14	179	1268	42.195 km	4:24:26	12:39:14	6:16/km	12	135	960	10:37	8:07
404	F55-59	Ottawa ON	CAN	Dentist Designer	3.8 km	1:27:34	1:27:34	2:18/100m	15	345	1514	180 km	6:19:19	7:55:29	28.47 km/h	4	142	1106	42.195 km	4:45:13	12:46:17	6:45/km	3	144	1011	8:36	5:35
405	F55-59	Ottawa ON	CAN	Nurse	3.8 km	1:18:37	1:18:37	2:04/100m	9	175	892	180 km	6:34:45	8:03:16	27.36 km/h	5	161	1212	42.195 km	5:15:40	13:23:11	7:28/km	7	212	1300	9:54	4:15
406	F55-59	Piedmont QC	CAN	Other	3.8 km	1:39:26	1:39:26	2:37/100m	28	501	2029	180 km	8:11:30	10:05:46	21.97 km/h	32	590	2294	42.195 km	6:11:19	16:28:47	8:48/km	29	577	2217	14:50	11:42
407	F55-59	St. Catharines ON	CAN	Management	3.8 km	1:17:25	1:17:25	2:02/100m	6	151	792	180 km	7:24:29	8:51:15	24.30 km/h	18	358	1786	42.195 km	5:43:12	14:45:42	8:08/km	20	411	1832	9:21	11:15
408	F55-59	Bradley Beach NJ	USA	Airline Pilot	3.8 km	2:02:17	2:02:17	3:13/100m	36	633	2374	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
409	F55-59	Vernon BC	CAN	Retired	3.8 km	1:27:57	1:27:57	2:18/100m	16	352	1536	180 km	7:32:19	9:11:09	23.88 km/h	21	435	1958	42.195 km	6:36:08	16:12:46	9:23/km	28	553	2168	10:53	25:29
410	F60-64	Princeton NJ	USA	Artist	3.8 km	1:17:11	1:17:11	2:01/100m	1	147	774	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	7:55	--:--
411	M18-24	Brampton ON	CAN	Other	3.8 km	1:27:04	1:27:04	2:17/100m	33	1147	1479	180 km	7:20:15	8:55:01	24.53 km/h	37	1455	1828	42.195 km	5:08:04	14:06:47	7:18/km	38	1291	1608	7:42	3:42
																											
413	M18-24	Sainte-Therese QC	CAN	Student	3.8 km	1:15:32	1:15:32	1:59/100m	18	532	661	180 km	5:39:29	7:01:30	31.81 km/h	5	326	359	42.195 km	3:51:06	10:57:01	5:28/km	4	221	241	6:29	4:25
414	M18-24	Boxboro MA	USA	Student	3.8 km	1:10:07	1:10:07	1:50/100m	10	278	351	180 km	5:33:35	6:49:07	32.38 km/h	4	210	230	42.195 km	4:05:37	10:57:25	5:49/km	5	223	244	5:25	2:41
415	M25-29	East Syracuse NY	USA	Engineer	3.8 km	1:39:19	1:39:19	2:36/100m	123	1525	2021	180 km	6:07:48	7:55:40	29.36 km/h	84	972	1114	42.195 km	5:15:06	13:16:07	7:28/km	93	1042	1245	8:33	5:21
416	M25-29	Laval QC	CAN	Engineer	3.8 km	1:10:03	1:10:03	1:50/100m	30	275	348	180 km	5:57:57	7:14:53	30.17 km/h	54	473	526	42.195 km	4:50:20	12:10:01	6:52/km	68	646	742	6:53	4:48
417	M25-29	Pickering ON	CAN	Computer Analyst	3.8 km	1:12:09	1:12:09	1:53/100m	41	387	475	180 km	5:47:43	7:08:00	31.06 km/h	46	391	433	42.195 km	4:26:48	11:42:14	6:19/km	49	445	511	8:08	7:26
418	M25-29	Brossard QC	CAN	Computer Analyst	3.8 km	1:32:02	1:32:02	2:25/100m	116	1341	1765	180 km	5:27:01	7:07:07	33.03 km/h	42	377	417	42.195 km	5:34:26	12:46:55	7:55/km	84	871	1015	8:04	5:22
419	M25-29	New York NY	FRA	Consultant	3.8 km	1:11:58	1:11:58	1:53/100m	38	376	464	180 km	5:31:47	6:49:11	32.55 km/h	25	211	231	42.195 km	3:40:01	10:32:36	5:12/km	20	135	150	5:26	3:24
420	M25-29	Delmar NY	USA	Construction	3.8 km	1:18:45	1:18:45	2:04/100m	72	724	900	180 km	6:37:36	8:02:53	27.16 km/h	89	1047	1206	42.195 km	4:46:04	12:56:06	6:46/km	85	922	1084	6:32	7:09
421	M25-29	Montreal QC	CAN	Engineer	3.8 km	1:17:25	1:17:25	2:02/100m	65	641	791	180 km	5:45:05	7:07:51	31.30 km/h	45	388	430	42.195 km	4:23:20	11:33:21	6:14/km	46	399	456	5:21	2:10
422	M25-29	Brooklyn NY	USA	Event Organizer	3.8 km	1:13:43	1:13:43	1:56/100m	50	446	555	180 km	5:46:43	7:07:40	31.15 km/h	44	385	425	42.195 km	3:59:44	11:10:12	5:40/km	37	271	301	7:14	2:48
423	M30-34	Fort Lauderdale FL	USA	Financial Analyst	3.8 km	1:26:05	1:26:05	2:15/100m	156	1111	1412	180 km	6:20:42	7:55:30	28.37 km/h	140	966	1108	42.195 km	4:41:54	12:40:02	6:40/km	122	827	963	8:43	2:38
424	M30-34	San Francisco CA	USA	Other	3.8 km	1:12:00	1:12:00	1:53/100m	52	379	467	180 km	5:42:09	7:04:25	31.57 km/h	53	346	386	42.195 km	4:13:53	11:26:04	6:01/km	61	351	400	10:16	7:46
425	M30-34	College Point NY	USA	Other	3.8 km	1:21:44	1:21:44	2:09/100m	135	910	1142	180 km	6:57:42	8:27:02	25.86 km/h	166	1251	1501	42.195 km	4:38:27	13:08:33	6:35/km	143	999	1190	7:36	3:04
426	M30-34	Saint-Hippolyte QC	CAN	Fire Fighter	3.8 km	1:18:33	1:18:33	2:04/100m	105	715	888	180 km	5:57:10	7:23:49	30.24 km/h	83	596	671	42.195 km	4:32:47	12:02:34	6:27/km	91	592	679	8:06	5:58
427	M30-34	Montreal QC	FRA	Engineer	3.8 km	1:03:37	1:03:37	1:40/100m	13	90	117	180 km	5:37:13	6:46:20	32.03 km/h	31	185	200	42.195 km	3:20:29	10:09:17	4:45/km	16	77	84	5:30	2:28
428	M30-34	Mexico Df	MEX	Administrator	3.8 km	1:08:18	1:08:18	1:47/100m	31	213	270	180 km	5:57:43	7:12:59	30.19 km/h	65	449	499	42.195 km	5:11:02	12:28:51	7:22/km	115	762	877	6:58	4:50
429	M30-34	Wappingers Falls NY	USA	Financial Analyst	3.8 km	1:03:23	1:03:23	1:40/100m	10	83	108	180 km	5:04:22	6:11:44	35.48 km/h	7	29	32	42.195 km	3:38:25	9:52:16	5:10/km	8	42	45	3:59	2:07
430	M30-34	Boston MA	HUN	Consultant	3.8 km	1:14:12	1:14:12	1:57/100m	62	459	570	180 km	6:26:56	7:49:23	27.91 km/h	127	874	1003	42.195 km	4:24:31	12:20:36	6:16/km	108	714	819	8:15	6:42
431	M30-34	St-Adolphe D'howard QC	CAN	Banker	3.8 km	--:--	--:--	--/100m	--	--	--	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
																											
433	M30-34	Boca Raton FL	USA	Insurance	3.8 km	1:16:47	1:16:47	2:01/100m	86	611	751	180 km	6:18:44	7:44:20	28.52 km/h	117	816	926	42.195 km	4:16:32	12:07:10	6:04/km	98	622	715	8:49	6:18
434	M30-34	Beachwood OH	USA	Physician	3.8 km	1:16:45	1:16:45	2:01/100m	85	609	749	180 km	5:56:59	7:19:23	30.25 km/h	73	532	601	42.195 km	3:48:18	11:15:14	5:24/km	50	295	331	5:39	7:33
435	M30-34	Toronto ON	CAN	Financial Analyst	3.8 km	1:27:17	1:27:17	2:17/100m	165	1154	1492	180 km	5:45:46	7:19:04	31.23 km/h	72	529	597	42.195 km	4:28:57	11:53:32	6:22/km	78	528	608	6:01	5:31
436	M30-34	Orlando FL	USA	Engineer	3.8 km	1:18:29	1:18:29	2:03/100m	104	709	880	180 km	5:58:21	7:26:21	30.14 km/h	88	626	706	42.195 km	5:18:14	12:52:18	7:32/km	132	905	1058	9:31	7:43
437	M30-34	Boston MA	USA	Scientist	3.8 km	1:21:21	1:21:21	2:08/100m	130	886	1117	180 km	6:13:43	7:43:44	28.90 km/h	114	809	915	42.195 km	4:50:20	12:40:19	6:52/km	123	831	967	8:40	6:15
																											
439	M35-39	Phoenix AZ	USA	Business Owner	3.8 km	1:24:25	1:24:25	2:13/100m	160	1030	1304	180 km	7:00:21	8:34:04	25.69 km/h	191	1313	1598	42.195 km	6:21:25	15:06:32	9:02/km	224	1486	1951	9:18	11:03
440	M35-39	Ottawa ON	CAN	Fire Fighter	3.8 km	1:08:57	1:08:57	1:48/100m	41	244	303	180 km	5:12:05	6:26:14	34.61 km/h	11	74	82	42.195 km	3:11:18	9:39:42	4:32/km	2	26	28	5:12	2:10
441	M35-39	Clinton Township MI	USA	Nurse	3.8 km	1:22:32	1:22:32	2:10/100m	148	942	1186	180 km	5:55:44	7:27:17	30.36 km/h	108	635	715	42.195 km	4:12:07	11:46:04	5:58/km	86	471	541	9:01	6:40
442	M35-39	Marina Del Rey CA	CAN	Fitness Consultant	3.8 km	1:08:43	1:08:43	1:48/100m	38	234	293	180 km	5:52:52	7:07:00	30.61 km/h	65	374	414	42.195 km	4:43:51	11:54:30	6:43/km	95	538	618	5:25	3:39
443	M35-39	Lakewood CA	USA	Police	3.8 km	1:48:01	1:48:01	2:50/100m	243	1665	2238	180 km	7:09:43	9:11:08	25.13 km/h	229	1523	1957	42.195 km	5:14:13	14:32:09	7:26/km	214	1377	1755	13:24	6:48
444	M35-39	Hudson Falls NY	USA	Fitness Consultant	3.8 km	1:27:20	1:27:20	2:17/100m	179	1159	1499	180 km	5:43:37	7:18:07	31.43 km/h	86	510	576	42.195 km	4:51:42	12:14:12	6:54/km	111	674	771	7:10	4:23
445	M35-39	Bristow VA	USA	Management	3.8 km	1:10:49	1:10:49	1:51/100m	55	311	386	180 km	5:14:50	6:30:46	34.30 km/h	16	95	103	42.195 km	--:--	--:--	--/km	--	--	--	5:07	2:00
446	M35-39	Brighton ON	CAN	Financial Analyst	3.8 km	1:04:31	1:04:31	1:41/100m	16	118	152	180 km	5:09:32	6:19:04	34.89 km/h	8	51	55	42.195 km	3:31:57	9:53:44	5:01/km	8	47	50	5:01	2:43
447	M35-39	Irvine CA	USA	Management	3.8 km	1:24:00	1:24:00	2:12/100m	158	1012	1276	180 km	6:59:22	8:33:07	25.75 km/h	190	1301	1582	42.195 km	5:10:22	13:50:23	7:21/km	194	1233	1518	9:45	6:54
448	M35-39	Windsor ON	CAN	Other	3.8 km	1:13:45	1:13:45	1:56/100m	75	447	556	180 km	5:51:11	7:10:51	30.75 km/h	75	426	472	42.195 km	4:16:48	11:30:40	6:05/km	72	386	440	5:55	3:01
449	M35-39	Brooklyn NY	AUS	Business Owner	3.8 km	1:07:12	1:07:12	1:46/100m	32	177	228	180 km	5:05:44	6:18:12	35.32 km/h	6	49	53	42.195 km	3:54:21	10:15:00	5:33/km	15	90	99	5:16	2:27
450	M35-39	Kerrville TX	USA	Dentist Designer	3.8 km	1:31:01	1:31:01	2:23/100m	194	1307	1708	180 km	6:58:13	9:34:48	25.82 km/h	238	1625	2138	42.195 km	5:49:12	15:34:35	8:16/km	230	1547	2056	1:05:34	10:35
451	M35-39	Toronto ON	CAN	Other	3.8 km	1:50:41	1:50:41	2:54/100m	247	1686	2270	180 km	6:22:05	8:19:57	28.27 km/h	173	1190	1414	42.195 km	5:05:15	13:28:19	7:14/km	178	1121	1348	7:11	3:07
452	M35-39	Lachine QC	CAN	Sales Manager	3.8 km	1:31:18	1:31:18	2:24/100m	196	1319	1727	180 km	6:27:35	8:08:11	27.86 km/h	163	1101	1283	42.195 km	4:50:05	13:05:24	6:52/km	152	976	1162	9:18	7:08
453	M40-44	Notre-Dame Des Prairies QC	CAN	Physician	3.8 km	1:21:11	1:21:11	2:08/100m	196	874	1105	180 km	6:05:27	7:35:45	29.55 km/h	178	738	831	42.195 km	4:02:33	11:41:44	5:44/km	106	441	507	9:07	3:26
454	M40-44	Drummondville QC	CAN	Computer Programmer	3.8 km	1:11:51	1:11:51	1:53/100m	71	366	452	180 km	5:55:48	7:15:33	30.35 km/h	120	482	537	42.195 km	4:46:38	12:07:36	6:47/km	146	627	721	7:54	5:25
455	M40-44	Mont Tremblant QC	CAN	Business Executive	3.8 km	1:16:35	1:16:35	2:00/100m	127	600	738	180 km	5:36:16	7:00:38	32.12 km/h	81	317	348	42.195 km	4:01:40	11:07:14	5:43/km	60	256	284	7:47	4:56
456	M40-44	Vancouver BC	CAN	Attorney	3.8 km	1:10:14	1:10:14	1:50/100m	51	285	358	180 km	5:18:25	6:34:02	33.92 km/h	17	111	119	42.195 km	3:59:31	10:36:17	5:40/km	31	149	165	5:23	2:44
																											
																											
459	M40-44	Pointe-Claire QC	CAN	Investment Management	3.8 km	1:22:27	1:22:27	2:10/100m	205	937	1180	180 km	5:49:10	7:18:11	30.93 km/h	130	512	578	42.195 km	4:12:16	11:33:52	5:58/km	94	402	459	6:34	3:25
460	M40-44	Thunder Bay ON	CAN	Business Owner	3.8 km	1:20:10	1:20:10	2:06/100m	181	816	1028	180 km	5:53:32	7:19:49	30.55 km/h	134	538	607	42.195 km	4:17:32	11:40:38	6:06/km	102	432	495	6:07	3:17
																											
462	M40-44	Blainville QC	CAN	Contractor	3.8 km	1:35:22	1:35:22	2:30/100m	294	1436	1889	180 km	5:37:58	7:19:16	31.96 km/h	132	531	600	42.195 km	5:07:12	12:32:24	7:16/km	183	781	902	5:56	5:56
463	M40-44	Mont St-Hilaire QC	CAN	Airline Pilot	3.8 km	1:04:04	1:04:04	1:41/100m	16	107	139	180 km	5:03:54	6:11:50	35.54 km/h	2	30	33	42.195 km	3:14:55	9:28:34	4:37/km	1	16	17	3:52	1:49
																											
																											
466	M40-44	Quebec QC	CAN	Computer Analyst	3.8 km	1:14:54	1:14:54	1:58/100m	100	489	609	180 km	5:33:20	6:54:35	32.40 km/h	60	263	291	42.195 km	4:43:08	11:41:37	6:42/km	105	440	506	6:21	3:54
467	M40-44	Altadena CA	USA	Consultant	3.8 km	1:23:06	1:23:06	2:11/100m	214	969	1225	180 km	6:27:08	7:59:12	27.90 km/h	231	1008	1161	42.195 km	5:41:24	13:46:36	8:05/km	273	1216	1492	8:58	6:00
468	M40-44	Laval QC	CAN	Scientist	3.8 km	1:30:39	1:30:39	2:23/100m	264	1293	1688	180 km	6:27:38	8:06:04	27.86 km/h	246	1081	1257	42.195 km	4:24:06	12:33:06	6:15/km	185	785	907	7:47	2:56
469	M40-44	Montreal QC	CAN	Other	3.8 km	1:18:27	1:18:27	2:03/100m	152	707	876	180 km	5:12:48	6:42:06	34.53 km/h	29	157	168	42.195 km	--:--	--:--	--/km	--	--	--	10:51	6:31
470	M40-44	Orchard Park NY	USA	Salesperson	3.8 km	1:15:18	1:15:18	1:58/100m	107	519	645	180 km	5:43:58	7:06:34	31.40 km/h	93	367	407	42.195 km	4:16:07	11:25:59	6:04/km	80	349	398	7:18	3:18
471	M40-44	Kitchener ON	CAN	Scientist	3.8 km	1:10:12	1:10:12	1:50/100m	50	283	356	180 km	5:29:49	6:48:25	32.75 km/h	47	202	221	42.195 km	4:09:46	11:01:53	5:55/km	57	237	263	8:24	3:42
472	M40-44	Puebla	MEX	Business Owner	3.8 km	1:19:24	1:19:24	2:05/100m	172	774	968	180 km	6:20:10	7:49:15	28.41 km/h	197	873	1002	42.195 km	4:45:07	12:42:18	6:45/km	197	845	983	9:41	7:56
473	M40-44	Sandy Springs GA	USA	Real Estate	3.8 km	1:15:56	1:15:56	1:59/100m	115	558	688	180 km	7:50:14	9:15:06	22.97 km/h	328	1546	1995	42.195 km	6:56:08	16:18:21	9:51/km	337	1623	2188	8:56	7:07
474	M40-44	Winnipeg MB	CAN	Scientist	3.8 km	--:--	--:--	--/100m	--	--	--	180 km	--:--	--:--	-- km/h	--	--	--	42.195 km	--:--	--:--	--/km	--	--	--	--:--	--:--
475	M40-44	Barrie ON	CAN	Engineer	3.8 km	1:13:13	1:13:13	1:55/100m	90	429	532	180 km	5:53:03	7:12:30	30.59 km/h	107	440	490	42.195 km	4:05:59	11:22:23	5:49/km	76	330	377	6:14	3:54
																											
477	M40-44	St-Eustache QC	CAN	Administrator	3.8 km	1:22:49	1:22:49	2:10/100m	211	955	1205	180 km	5:52:07	7:24:05	30.67 km/h	145	599	674	42.195 km	4:35:37	12:04:38	6:31/km	143	602	693	9:09	4:56
																											
